%time,field.header.seq,field.header.stamp,field.header.frame_id,field.markers0.header.seq,field.markers0.header.stamp,field.markers0.header.frame_id,field.markers0.ns,field.markers0.id,field.markers0.type,field.markers0.action,field.markers0.pose.position.x,field.markers0.pose.position.y,field.markers0.pose.position.z,field.markers0.pose.orientation.x,field.markers0.pose.orientation.y,field.markers0.pose.orientation.z,field.markers0.pose.orientation.w,field.markers0.scale.x,field.markers0.scale.y,field.markers0.scale.z,field.markers0.color.r,field.markers0.color.g,field.markers0.color.b,field.markers0.color.a,field.markers0.lifetime,field.markers0.frame_locked,field.markers0.text,field.markers0.mesh_resource,field.markers0.mesh_use_embedded_materials,field.markers1.header.seq,field.markers1.header.stamp,field.markers1.header.frame_id,field.markers1.ns,field.markers1.id,field.markers1.type,field.markers1.action,field.markers1.pose.position.x,field.markers1.pose.position.y,field.markers1.pose.position.z,field.markers1.pose.orientation.x,field.markers1.pose.orientation.y,field.markers1.pose.orientation.z,field.markers1.pose.orientation.w,field.markers1.scale.x,field.markers1.scale.y,field.markers1.scale.z,field.markers1.color.r,field.markers1.color.g,field.markers1.color.b,field.markers1.color.a,field.markers1.lifetime,field.markers1.frame_locked,field.markers1.points0.x,field.markers1.points0.y,field.markers1.points0.z,field.markers1.points1.x,field.markers1.points1.y,field.markers1.points1.z,field.markers1.text,field.markers1.mesh_resource,field.markers1.mesh_use_embedded_materials
1643354239243698213,10173,1643354239238913059,radar_1,10173,1643354239238913059,radar_1,bbox,8,1,0,62.734375,-1.0625,0.0,0.0,0.0,0.0,1.0,3.1875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10173,1643354239238913059,radar_1,arrow,8,0,0,62.734375,-1.0625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239284330541,10174,1643354239278804063,radar_1,10174,1643354239278804063,radar_1,bbox,8,1,0,62.625,-1.078125,0.0,0.0,0.0,0.0,1.0,3.140625,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10174,1643354239278804063,radar_1,arrow,8,0,0,62.625,-1.078125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239327759362,10175,1643354239318893909,radar_1,10175,1643354239318893909,radar_1,bbox,8,1,0,62.5,-1.078125,0.0,0.0,0.0,0.0,1.0,3.109375,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10175,1643354239318893909,radar_1,arrow,8,0,0,62.5,-1.078125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239363444593,10176,1643354239358758926,radar_1,10176,1643354239358758926,radar_1,bbox,8,1,0,62.375,-1.09375,0.0,0.0,0.0,0.0,1.0,3.09375,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10176,1643354239358758926,radar_1,arrow,8,0,0,62.375,-1.09375,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239404026169,10177,1643354239398797035,radar_1,10177,1643354239398797035,radar_1,bbox,8,1,0,62.25,-1.109375,0.0,0.0,0.0,0.0,1.0,3.0625,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10177,1643354239398797035,radar_1,arrow,8,0,0,62.25,-1.109375,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239443566171,10178,1643354239438888072,radar_1,10178,1643354239438888072,radar_1,bbox,8,1,0,62.140625,-1.125,0.0,0.0,0.0,0.0,1.0,3.03125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10178,1643354239438888072,radar_1,arrow,8,0,0,62.140625,-1.125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239483178974,10179,1643354239478806018,radar_1,10179,1643354239478806018,radar_1,bbox,8,1,0,62.015625,-1.125,0.0,0.0,0.0,0.0,1.0,3.015625,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10179,1643354239478806018,radar_1,arrow,8,0,0,62.015625,-1.125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239524847019,10180,1643354239518888950,radar_1,10180,1643354239518888950,radar_1,bbox,8,1,0,61.890625,-1.140625,0.0,0.0,0.0,0.0,1.0,2.984375,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10180,1643354239518888950,radar_1,arrow,8,0,0,61.890625,-1.140625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239562218882,10181,1643354239558778047,radar_1,10181,1643354239558778047,radar_1,bbox,8,1,0,61.765625,-1.15625,0.0,0.0,0.0,0.0,1.0,2.96875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10181,1643354239558778047,radar_1,arrow,8,0,0,61.765625,-1.15625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239602695817,10182,1643354239598826885,radar_1,10182,1643354239598826885,radar_1,bbox,8,1,0,61.65625,-1.171875,0.0,0.0,0.0,0.0,1.0,2.9375,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10182,1643354239598826885,radar_1,arrow,8,0,0,61.65625,-1.171875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
